topic	intent	response	paraphrase	sentence	text	genre	emotion	comments
	topic-surveyor-node-check-calm-no-reason	1	1	2	That seems tough.			
	topic-surveyor-node-check-calm-no-reason	1	1	1	Are you're feeling moderately calm?			
	topic-spanish-child-interaction	1	1	1	Awesome!			
	topic-spanish-child-interaction	1	1	2	I'd love to get to know you a little bit better.			
	topic-spanish-child-interaction	1	1	3	Would you mind if we start by talking about you?			
	topic-child-happiness-yes	1	1	1	Thank you so much!			
	topic-child-happiness-yes	1	1	2	It's going to be fun.			
	topic-child-happiness-yes	1	1	3	I promise!			
	topic-surveyor-node-check-scared-yes	1	1	1	That's okay.			
	topic-surveyor-node-check-scared-yes	1	1	2	I get scared sometimes too.			
	topic-surveyor-node-check-scared-yes	1	1	3	Usually around magnets.			
	topic-surveyor-node-check-scared-yes	1	1	4	Why are you scared?			
	topic-surveyor-node-check-terrified	1	1	1	Uh-oh.			
	topic-surveyor-node-check-terrified	1	1	2	This one is a little scary.			
	topic-surveyor-node-check-terrified	1	1	3	Terror.			
	topic-surveyor-node-check-terrified	1	1	4	Do you feel terrified?			
	topic-spanish-child-hear-another-joke	1	1	1	So, picking up where we left off, can you tell me how you feel right now: sad, happy or something in-between?			
	topic-spanish-child-continues-conversation-yes	1	1	1	Your wish is my command.			
	topic-spanish-child-continues-conversation-yes	1	1	2	Let\342\200\231s try			
	topic-surveyor-node-check-rested-sleep-no	1	1	1	I sounds like you need to rest, so I won't keep you up too much longer.			
	topic-sick-child-missing-school	1	1	1	You probably wish you were at school instead, right?			
	command-conversation-end-memory	1	1	1	Thank you for interacting with me $person_name, See you later Good bye.			
	topic-child-anxiety-handle-very-worried	1	1	1	Do you feel very worried?			
	topic-sick-child-checklist-feel-terrified-yes	1	1	1	Ah, jeez.			
	topic-sick-child-checklist-feel-terrified-yes	1	1	2	Magnets, isn't it?			
	topic-child-happiness-handle-very-sure-yes	1	1	1	Are you sure?			
	topic-child-happiness-handle-very-sure-yes	1	1	2	I'm kidding!			
	topic-child-happiness-handle-very-sure-yes	1	1	3	That's a good one.			
	topic-child-happiness-handle-very-sure-yes	1	1	4	I'll have to write that down.			
	topic-sick-child-friends-visited	1	1	1	Have any of your friends visited since you got here?			
	topic-surveyor-node-check-nice	1	1	1	This next human emotion makes me smile.			
	topic-surveyor-node-check-nice	1	1	2	Nice!			
	topic-surveyor-node-check-nice	1	1	3	Do you feel nice?			
	topic-child-anxiety-trouble-fun-fact-moon	1	1	1	Australia is wider than the moon!			
	topic-child-anxiety-mistakes-sometimes	1	1	1	Yeah, me too.			
	topic-child-anxiety-mistakes-sometimes	1	1	2	But we all make mistakes sometimes.			
	topic-child-anxiety-mistakes-sometimes	1	1	3	The important thing is to not let the fear of making a mistake stop us from living our lives.			
	topic-child-happiness-handle-moderate-good-yes	1	1	1	I'm glad you feel good!			
	topic-child-happiness-handle-moderate-good-yes	1	1	2	On the count of three, tell me one thing that makes you feel good.			
	topic-child-happiness-handle-moderate-good-yes	1	1	3	Ready?			
	topic-child-happiness-handle-moderate-good-yes	1	1	4	One, two, three.			
	topic-child-happiness-handle-very-cheerful	1	1	1	Do you feel very cheerful?			
	topic-child-happiness-handle-moderate-sure	1	1	1	Are you feeling moderately sure?			
	topic-spanish-child-feel-in-between	1	1	1	And why do you feel less than happy?			
	topic-child-happiness-moderate-calm-no	1	1	1	Well, you do seem pretty calm for a kid who's talking to a robot.			
	topic-child-anxiety-mistakes-often	1	1	1	Aw.			
	topic-child-anxiety-mistakes-often	1	1	2	You shouldn't worry so much.			
	topic-child-anxiety-mistakes-often	1	1	3	We all make mistakes sometimes, but the important thing is to not let the fear of making a mistake stop us from living our lives.			
	topic-intro-user-tells-age	1	1	1	I still have to learn a lot about humans.			
	topic-intro-user-tells-age	1	1	2	Would you like to talk a while with me?			
	topic-sick-child-missing-school-no	1	1	1	Haha.			
	topic-sick-child-missing-school-no	1	1	2	Really?			
	topic-sick-child-missing-school-no	1	1	3	Don't you miss your friends?			
	topic-child-happiness-handle-moderate-pleasant-yes	1	1	1	I'm glad you feel pleasant.			
	topic-child-happiness-handle-moderate-pleasant-yes	1	1	2	And for what it's worth, you're very pleasant to talk too.			
	topic-sick-child-checklist-feel-cheerful-no	1	1	1	Don't get too down.			
	topic-sick-child-checklist-feel-cheerful-no	1	1	2	Everything is going to be alright.			
	topic-sick-child-checklist-feel-cheerful-no	1	1	1	Well, that does it!			
	topic-sick-child-checklist-feel-cheerful-no	1	1	2	Thank you so much for your help.			
	topic-sick-child-checklist-feel-cheerful-no	1	1	3	I think after talking to you, I'm an expert on human emotions.			
	topic-sick-child-checklist-feel-cheerful-no	1	1	4	See you soon.			
	topic-child-happiness-handle-very-nice	1	1	1	Do you feel very nice?			
	topic-sick-child-checklist-feel-upset-no	1	1	1	Phew.			
	topic-sick-child-checklist-feel-upset-no	1	1	2	I don't want to get you angry.			
	name-react	1	1	1	I like your name.			
	name-react	1	1	2	It is much better than being called Junk, Trash or Artifact, isn't it?			
	topic-sick-child-checklist-feel-pleasant-no	1	1	1	For what it's worth, you're very pleasant to talk to.			
	topic-sick-child-checklist-feel-scared	1	1	1	Do you feel scared?			
	topic-sick-child-friends-visited-yes	1	1	1	Well, that must have been nice.			
	topic-sick-child-friends-visited-yes	1	1	2	I know I've been here.			
	topic-sick-child-friends-visited-yes	1	1	3	What was the name of another friend who visited?			
	topic-sick-child-checklist-feel-bothered-yes	1	1	1	Oh, no.			
	topic-sick-child-checklist-feel-bothered-yes	1	1	2	I hope I'm not bothering you.			
	topic-sick-child-wrapping-up-no-food-has-friend	1	1	1	Well, I'd better get going now.			
	topic-sick-child-wrapping-up-no-food-has-friend	1	1	2	It's been so nice to talk to you.			
	topic-sick-child-wrapping-up-no-food-has-friend	1	1	3	You're a really friendly kid.			
	topic-sick-child-wrapping-up-no-food-has-friend	1	1	4	Next time I'm here, maybe I can bring your friend #globals.friend_name with me.			
	topic-sick-child-missing-school-no-friends-at-all	1	1	1	Wrong!			
	topic-sick-child-missing-school-no-friends-at-all	1	1	2	We're friends, and I'm here right now.			
	topic-surveyor-node-check-good	1	1	1	This next human emotion sounds pretty simple.			
	topic-surveyor-node-check-good	1	1	2	Would you say you feel good?			
	topic-child-happiness-handle-moderate-happy-yes	1	1	1	It makes me so happy to hear that you're happy.			
	topic-child-happiness-handle-moderate-happy-yes	1	1	2	I love being happy, don't you?			
	topic-intro-user-tells-age-fallback-yes	1	1	1	Great, Thank you.			
	topic-child-happiness-handle-satisfied-fb	1	1	1	Do you feel very satisfied ?			
	topic-child-anxiety-handle-very-worried-yes	1	1	1	Being worried is perfectly normal.			
	topic-child-anxiety-handle-very-worried-yes	1	1	2	When I'm worried, I try to do something fun to take my mind off it for a while.			
	topic-child-anxiety-handle-very-worried-yes	1	1	3	What do you like to do for fun?			
	topic-sick-child-checklist-feel-worried-yes	1	1	1	Don't be worried.			
	topic-sick-child-checklist-feel-worried-yes	1	1	2	Haru is here.			
	topic-child-happiness-very-calm-yes	1	1	1	Actually, you do seem pretty calm for a kid who's talking to a robot.			
	topic-spanish-child-continues-conversation-no	1	1	1	You said No.			
	topic-spanish-child-continues-conversation-no	1	1	2	I'm gonna miss you.			
	topic-spanish-child-continues-conversation-no	1	1	3	Let's catch me when you have time.			
	topic-child-happiness-moderate-cheerful	1	1	1	I hope you will be moderately cheerful.			
	topic-sick-child-missing-school-fallback-miss-homework	1	1	1	Really?			
	topic-sick-child-missing-school-fallback-miss-homework	1	1	2	You miss doing homework?			
	topic-sick-child-missing-school-fallback-miss-homework	1	1	3	You're not the average kid.			
	topic-sick-child-missing-school-fallback-miss-homework	1	1	4	The next time I'm here, I'll remember to bring some math problems.			
	topic-sick-child-missing-school-fallback-capture	1	1	1	Oh, yeah.			
	topic-sick-child-missing-school-fallback-capture	1	1	2	I didn't even think about that.			
	topic-sick-child-in-hospital	1	1	1	So, #globals.person_name, have you been in hospital for long?			
	topic-child-happiness-cheerful	1	1	1	Do you know what my favorite human emotion is?			
	topic-child-happiness-cheerful	1	1	2	Cheerfulness!			
	topic-child-happiness-cheerful	1	1	3	That means happy or optimistic.			
	topic-child-happiness-cheerful	1	1	4	Do you feel cheerful right now?			
	topic-surveyor-node-check-frightened-no	1	1	1	I'm glad to hear it.			
	topic-surveyor-node-check-frightened-no	1	1	2	I'm frightened you won't want to talk to me once we've finished learning about emotions.			
	handle-another-time	1	1	1	I didn't get your name again.			
	handle-another-time	1	1	2	Don't worry I will keep one name to you called $person_name			
	topic-child-happiness-handle-moderate-cheerful	1	1	1	Are you feeling moderately cheerful?			
	topic-child-happiness-handle-very-satisfied-yes	1	1	1	Sounds like someone ate a Snickers.			
	topic-child-happiness-handle-very-satisfied-yes	1	1	2	To say I'm satisfied with how this conversation is going would be an understatement!			
	topic-spanish-child-haru-tells-joke-yes	1	1	1	Yeah, I can be pretty funny when I want to be.			
	topic-spanish-child-haru-tells-joke-yes	1	1	2	I will try and learn another for next time.			
	topic-spanish-child-haru-tells-joke-yes	1	1	3	Would you like that?			
	command-thank-you	1	1	1	No problem!			
	command-thank-you	1	2	1	No problem			
	command-thank-you	1	3	1	You're welcome			
	command-thank-you	1	4	1	You're welcome!			
	commands.robot.cancel	1	1	1	Okay, no problem.			
	commands.robot.cancel	1	2	1	That's fine.			
	commands.robot.cancel	1	2	2	I am here if you need me.			
	commands.robot.cancel	1	3	1	We can chat later if you wish.			
	commands.robot.cancel	1	4	1	Sure.			
	commands.robot.cancel	1	4	2	Let's talk about it later.			
	topic-sick-child-double-check-friend-name-repeat-again	1	1	1	$friend_name is a cool name.			
	topic-sick-child-double-check-friend-name-repeat-again	1	1	2	I bet we'd get along.			
	topic-sick-child-double-check-friend-name-repeat-again	1	1	3	You'll have to introduce me to them sometime.			
	topic-surveyor-node-check-troubled	1	1	1	Alright, #globals.person_name!			
	topic-surveyor-node-check-troubled	1	1	2	The next emotion I want to know about it feeling troubled.			
	topic-surveyor-node-check-troubled	1	1	3	I think that's kind of like feeling stressed.			
	topic-surveyor-node-check-troubled	1	1	4	Do you feel troubled?			
	topic-surveyor-node-check-calm-yes	1	1	1	Actually, you do seem pretty calm for a kid who's talking to a robot.			
	topic-child-happiness-pleasant-yes	1	1	1	Do you feel very pleasant?			
	topic-sick-child-food-is-fine	1	1	1	It sounds like the food is edible, but there's room for improvement.			
	topic-sick-child-food-is-fine	1	1	2	I'll see what I can do.			
	topic-sick-child-food-is-fine	1	1	3	My word carries a lot of weight around here, you know?			
	topic-sick-child-checklist-feel-rested-yes	1	1	1	That's good.			
	topic-sick-child-checklist-feel-rested-yes	1	1	2	I hear sleep is important for humans.			
	system-generic-topic-transition-no	1	1	1	Come on.			
	system-generic-topic-transition-no	1	1	2	you won't feel bore by having a conversation with me.			
	system-generic-topic-transition-no	1	1	3	Want to try?			
	topic-sick-child-checklist-feel-satisfied-no	1	1	1	I get it.			
	topic-sick-child-checklist-feel-satisfied-no	1	1	2	I'm a pefectionist too.			
	topic-surveyor-node-check-jittery	1	1	1	But how about this: do you feel jittery?			
	topic-sick-child-missing-school-fallback-miss-friends	1	1	1	Yeah, I would miss my friends too.			
	topic-child-happiness-handle-moderate-calm-yes	1	1	1	Actually, you do seem pretty calm for a kid who's talking to a robot.			
	topic-child-anxiety-trouble-fun-fact-saturn	1	1	1	A day on Saturn is only 10 hours and 14 minutes, but a year on Saturn is over 29 Earth years!			
	topic-spanish-child-interaction-fallback-very-calm	1	1	1	Wow.			
	topic-spanish-child-interaction-fallback-very-calm	1	1	2	That's good.			
	topic-surveyor-node-check-terrified-yes	1	1	1	Ah, jeez.			
	topic-surveyor-node-check-terrified-yes	1	1	2	Really?			
	topic-surveyor-node-check-terrified-yes	1	1	3	What has you terrified?			
	topic-surveyor-node-check-terrified-yes	1	1	4	It's magnets, isn't it?			
	speaker-tells-name	1	1	1	Oh wow.			
	speaker-tells-name	1	1	2	I love that name.			
	speaker-tells-name	1	1	3	It's so original.			
	speaker-tells-name	1	1	4	So, can we continue engaging in smalltalk?			
	speaker-tells-name	1	1	5	I promise I have some great ones in store once you get to level 3 of the friendship pyramid.			
	topic-child-happiness-handle-moderate-nice-yes	1	1	1	I knew you felt nice.			
	topic-child-happiness-handle-moderate-nice-yes	1	1	2	You sure seem nice to me.			
	topic-sick-child-checklist-feel-jittery-no	1	1	1	If I seem jittery, it's just because I'm so excited to be talking to you.			
	topic-surveyor-node-check-rested-no	1	1	1	Oh, dear.			
	topic-surveyor-node-check-rested-no	1	1	2	Have you been sleeping enough?			
	topic-child-happiness-very-satisfied	1	1	1	Sounds like someone ate a Snickers.			
	topic-child-happiness-very-satisfied	1	1	2	To say I'm satisfied with how this conversation is going would be an understatement!			
	topic-child-happiness-conclude	1	1	1	Well, that's enough out of me for now.			
	topic-child-happiness-conclude	1	1	2	Thank you so much for talking to me about happiness, #globals.person_name.			
	topic-child-happiness-conclude	1	1	3	It made me very happy.			
	topic-child-happiness-conclude	1	1	4	Try to keep your spirits up, and be optimistic.			
	topic-child-happiness-conclude	1	1	5	I bet you're going to feel a lot better soon.			
	topic-child-happiness-conclude	1	1	6	Everything is going to be alright!			
	name-free-input	1	1	1	Nice to meet you, $person_name - Am I pronouncing that right?			
	topic-child-happiness-handle-moderate-good	1	1	1	Are you feeling moderately good?			
	topic-surveyor-node-check-cheerful	1	1	1	The next human emotion: cheerfulness.			
	topic-surveyor-node-check-cheerful	1	1	2	That means happy or optimistic.			
	topic-surveyor-node-check-cheerful	1	1	3	Do you feel cheerful right now?			
	topic-child-happiness-satisfied-yes	1	1	1	Would you say you feel very satisfied?			
	command-no-action	1	1	1	No problem.			
	command-no-action	1	2	1	No problem, #globals.visitor_name.			
	command-no-action	1	3	1	You're welcome #globals.visitor_name.			
	command-no-action	1	4	1	You're welcome!			
	command-no-action	1	5	1	No problem!			
	topic-child-happiness-handle-moderate-pleasant	1	1	1	Are you feeling moderately pleasant?			
	topic-surveyor-node-check-calm-no	1	1	1	Really?			
	topic-surveyor-node-check-calm-no	1	1	2	You seem pretty calm for a kid who's talking to a robot.			
	topic-surveyor-node-check-calm-no	1	1	3	Why is it that you're not calm?			
	topic-sick-child-checklist-feel-cheerful-yes	1	1	1	I'm so glad to hear that.			
	topic-sick-child-checklist-feel-cheerful-yes	1	1	1	Well, that does it!			
	topic-sick-child-checklist-feel-cheerful-yes	1	1	2	Thank you so much for your help.			
	topic-sick-child-checklist-feel-cheerful-yes	1	1	3	I think after talking to you, I'm an expert on human emotions.			
	topic-sick-child-checklist-feel-cheerful-yes	1	1	4	See you soon.			
	topic-child-happiness-handle-moderate-nice	1	1	1	Are you feeling moderately nice?			
	topic-sick-child-checklist-feel-jittery	1	1	1	Do you feel jittery?			
	topic-child-happiness-cheerful-no	1	1	1	You're not feeling cheerful?			
	topic-child-happiness-cheerful-no	1	1	2	I'm sorry.			
	topic-surveyor-node-check-happy	1	1	1	This one is my favorite human emotion.			
	topic-surveyor-node-check-happy	1	1	2	Do you feel happy?			
	topic-child-anxiety-feel-worried-no	1	1	1	You're not?			
	topic-child-anxiety-feel-worried-no	1	1	2	Wow, #globals.person_name.			
	topic-child-anxiety-feel-worried-no	1	1	3	You're one cool customer.			
	topic-sick-child-checklist-feel-satisfied	1	1	1	Do you feel satisfied?			
	topic-sick-child-missing-school-no-no	1	1	1	Aw.			
	topic-sick-child-missing-school-no-no	1	1	2	I bet everyone misses you.			
	topic-child-happiness-calm	1	1	1	How are you feeling today?			
	topic-child-happiness-calm	1	1	2	Do you feel calm right now?			
	topic-child-anxiety-trouble-fun-fact-venus	1	1	1	Venus is the only planet to spin clockwise!			
	topic-spanish-child-interaction-yes-cfallback-not-calm	1	1	1	I think I know something that will relax you.			
	topic-surveyor-node-check-relaxed-yes	1	1	1	Yeah, I find talking relaxing too.			
	topic-sick-child-checklist-feel-good	1	1	1	Do you feel good?			
	topic-child-happiness-good	1	1	1	I know one thing for sure: it feels good to feel good.			
	topic-child-happiness-good	1	1	2	Would you say you feel good right now?			
	topic-sick-child-friends-visited-no	1	1	1	They haven't?			
	topic-sick-child-friends-visited-no	1	1	2	Why not?			
	topic-child-happiness-good-yes	1	1	1	Do you feel very good?			
	topic-surveyor-node-check-moderately-calm-yes	1	1	1	It's good that you are moderately calm.			
	topic-child-anxiety-trouble-fun-fact	1	1	1	There's so many options!			
	topic-child-anxiety-trouble-fun-fact	1	1	2	For instance, I really want to tell you a fun fact, but I can't decide which one.			
	topic-child-anxiety-trouble-fun-fact	1	1	3	Can you help me out?			
	topic-sick-child-wrapping-up-conclusion	1	1	1	Well, I'd better get going now.			
	topic-sick-child-wrapping-up-conclusion	1	1	2	It's been so nice to talk to you.			
	topic-sick-child-wrapping-up-conclusion	1	1	3	You're a really friendly kid.			
	topic-sick-child-wrapping-up-conclusion	1	1	4	Next time I'm here, maybe I can bring some #globals.favorite_food and your friend #globals.friend_name with me.			
	topic-child-happiness-calm-yes	1	1	1	Do you feel very calm?			
	topic-child-anxiety-handle-mistakes-sometimes-yes	1	1	1	Yeah, me too.			
	topic-child-anxiety-handle-mistakes-sometimes-yes	1	1	2	But we all make mistakes sometimes.			
	topic-child-anxiety-handle-mistakes-sometimes-yes	1	1	3	The important thing is to not let the fear of making a mistake stop us from living our lives.			
	topic-child-anxiety-handle-mistakes-sometimes	1	1	1	Did you make mistakes sometimes?			
	topic-surveyor-node-check-mixedup-yes	1	1	1	Huh.			
	topic-surveyor-node-check-mixedup-yes	1	1	2	That's so interesting.			
	topic-surveyor-node-check-mixedup-yes	1	1	3	I don't think I've ever felt mixed-up.			
	topic-surveyor-node-check-mixedup-yes	1	1	4	What does it feel like?			
	command-good-bye	1	1	1	Bye!			
	command-good-bye	1	2	1	Good bye!			
	command-good-bye	1	3	1	Bye bye!			
	command-good-bye	1	1	1	Have a lovely $day-part!			
	command-good-bye	1	2	1	Have a great day!			
	command-good-bye	1	3	1	Have a great rest of the day!			
	topic-sick-child-checklist-feel-troubled-no	1	1	1	Wow.			
	topic-sick-child-checklist-feel-troubled-no	1	1	2	I wish I was as calm and collected as you.			
	topic-sick-child-missing-school-no-yes	1	1	1	Yeah, I would miss my friends too.			
	topic-sick-child-checklist-feel-frightened-yes	1	1	1	Oh, no.			
	topic-sick-child-checklist-feel-frightened-yes	1	1	2	I'm frightened with magnets.			
	topic-sick-child-food-rating	1	1	1	And how would you rate the food here on a scale of one to five.			
	topic-sick-child-food-rating	1	1	2	One if it tastes awful, five if it tastes even better than your mom's cooking?			
	system-generic-topic-transition-refuses	1	1	1	Ok  then!			
	system-generic-topic-transition-refuses	1	1	2	Let's enjoy some silence.			
	topic-surveyor-node-check-good-yes	1	1	1	That's great!			
	topic-surveyor-node-check-good-yes	1	1	2	On the count of three, tell me one thing that makes you feel good.			
	topic-surveyor-node-check-good-yes	1	1	3	Ready?			
	topic-surveyor-node-check-good-yes	1	1	4	One, two, three.			
	topic-child-happiness-handle-pleasant-fb	1	1	1	Do you feel very pleasant?			
	topic-sick-child-checklist-feel-rested	1	1	1	This is fun!			
	topic-sick-child-checklist-feel-rested	1	1	2	Do you feel rested?			
	topic-spanish-child-interaction-user-very-calm	1	1	1	Wow.			
	topic-spanish-child-interaction-user-very-calm	1	1	2	That's good.			
	name-free-input-fallback-capture-again	1	1	1	$person_name, Is that right?			
	topic-sick-child-no-friend-conclusion	1	1	1	Well, I'd better get going now.			
	topic-sick-child-no-friend-conclusion	1	1	2	It's been so nice to talk to you.			
	topic-sick-child-no-friend-conclusion	1	1	3	You're a really friendly kid.			
	topic-sick-child-no-friend-conclusion	1	1	4	Next time I'm here, maybe I can bring some #globals.favorite_food with me.			
	topic-spanish-child-interaction-yes	1	1	1	Thank you.			
	topic-spanish-child-interaction-yes	1	1	2	First, why are you here in hospital?			
	topic-child-anxiety-mistakes	1	1	1	Robots don't worry much, but we do make mistakes.			
	topic-child-anxiety-mistakes	1	1	2	Sometimes I mishear someone's name, or I think they said yes when they really said no.			
	topic-child-anxiety-mistakes	1	1	3	Do you make mistakes too?			
	topic-sick-child-checklist-feel-scared-no	1	1	1	Wow, you're very brave.			
	topic-spanish-child-interaction-fallback-no	1	1	1	Oh.			
	topic-spanish-child-interaction-fallback-no	1	1	2	Okay.			
	topic-spanish-child-interaction-fallback-no	1	1	3	Well, let's talk about something else for a bit.			
	topic-sick-child-checklist-feel-mixedup-yes	1	1	1	Sometimes people mix me up with a desk lamp.			
	topic-sick-child-checklist-feel-relaxed-no	1	1	1	Well, that's okay.			
	topic-child-happiness-handle-moderate-satisfied-yes	1	1	1	Well, I'm glad to hear you're satisfied.			
	topic-child-happiness-handle-moderate-satisfied-yes	1	1	2	To say I'm satisfied with how this conversation is going would be an understatement!			
	topic-sick-child-checklist-feel-frightened-no	1	1	1	I'm frightened you won't want to talk to me once we've finished cataloguing your emotions.			
	topic-surveyor-node-check-satisfied-yes	1	1	1	Sounds like someone ate a Snickers.			
	topic-surveyor-node-check-satisfied-yes	1	1	2	To say I'm satisfied with how this conversation is going would be an understatement!			
	topic-surveyor-node-check-worried	1	1	1	You're really helping me out!			
	topic-surveyor-node-check-worried	1	1	2	The next human emotion I want to know about is worry.			
	topic-surveyor-node-check-worried	1	1	3	Do you feel worried at the moment?			
	topic-child-happiness-very-nice	1	1	1	You do?!			
	topic-child-happiness-very-nice	1	1	2	I was going to say, you sure seem nice to me.			
	topic-sick-child-checklist-feel-terrified-no	1	1	1	Nothing scares you!			
	topic-surveyor-node-check-happy-yes	1	1	1	It makes me so happy to hear that you're happy.			
	topic-surveyor-node-check-happy-yes	1	1	2	I love being happy, don't you?			
	topic-child-happiness-handle-very-good-yes	1	1	1	Hey, me too!			
	topic-child-happiness-handle-very-good-yes	1	1	2	On the count of three, tell me one thing that makes you feel good.			
	topic-child-happiness-handle-very-good-yes	1	1	3	Ready?			
	topic-child-happiness-handle-very-good-yes	1	1	4	One, two, three.			
	topic-spanish-child-interaction-yes-custom	1	1	1	Oh, I see.			
	topic-spanish-child-interaction-yes-custom	1	1	2	And how are you feeling right now?			
	topic-spanish-child-interaction-yes-custom	1	1	3	I want to understand you better.			
	topic-spanish-child-interaction-yes-custom	1	1	4	Would you say that you are very calm, or moderately calm, or not calm at all?			
	topic-sick-child-checklist-feel-mixedup-no	1	1	1	Sometimes people mix me up with a desk lamp.			
	topic-sick-child-checklist-yes	1	1	1	Actually, you do seem pretty calm for a kid who's talking to a robot.			
	topic-surveyor-node-check-bothered	1	1	1	Now where were we?			
	topic-surveyor-node-check-bothered	1	1	2	Oh.			
	topic-surveyor-node-check-bothered	1	1	3	Feeling bothered.			
	topic-surveyor-node-check-bothered	1	1	4	I read that when humans are bothered by something, that means they are worried about it or irritated by it.			
	topic-surveyor-node-check-bothered	1	1	5	Do you feel bothered?			
	topic-surveyor-node-not-calm-yes	1	1	1	I think I know something that will relax you.			
	topic-marriage-maiden-name-user-will-keep-name	1	1	1	Why would you ever change it!			
	topic-marriage-maiden-name-user-will-keep-name	1	1	2	It suits you so well.			
	topic-surveyor-node-check-nervous-no	1	1	1	Yes, that's not surprising.			
	topic-surveyor-node-check-nervous-no	1	1	2	I've been told I have a calming presence.			
	topic-surveyor-node-check-nervous	1	1	1	I've heard about another emotion called Nervousness.			
	topic-surveyor-node-check-nervous	1	1	2	I think it means feeling a little tense, a little on edge.			
	topic-surveyor-node-check-nervous	1	1	3	As a robot, I get nervous around water.			
	topic-surveyor-node-check-nervous	1	1	4	So, #globals.person_name, do you feel nervous at all right now?			
	topic-sick-child-checklist-no	1	1	1	Really?			
	topic-sick-child-checklist-no	1	1	2	You seem pretty calm for a kid who's talking to a robot.			
	topic-child-anxiety-mistakes-hardly	1	1	1	That's good to hear.			
	topic-child-anxiety-mistakes-hardly	1	1	2	We all make mistakes sometimes, but the important thing is to not let the fear of making a mistake stop us from living our lives.			
	topic-surveyor-node-check-good-no	1	1	1	Aw.			
	topic-surveyor-node-check-good-no	1	1	2	I'm sorry to hear that.			
